"","Kid","Pa","Ma","X_kid","Y_kid","X_pa","Y_pa","X_ma","Y_ma","Dist_pa","Dist_ma","Pheno_kid","Pheno_pa","Pheno_ma","Red_kid","Yellow_kid","Red_pa","Yellow_pa","Red_ma","Yellow_ma","year_kid","year_pa","year_ma","FDR","Pvalue","LOD","P.Pr.C_Se_Se","P.Pr.Max","MaxP.Pr.Relat","TotPaNonExc","TotMaNonExc","TotUnkNonExc","TotPairsNonExc","KidMiss","PaMiss","MaMiss","MI.Kid.Pa","MI.Kid.Ma","MI.Trio","MendIncLoci"
"187","T1367","K1892","M1261",424138.4,4686444,424149.1338,4686445.494,424153.1516,4686440.772,10.8372735703945,15.1006518587635,"FR","FR","FR","3","0.5","3.5","1","3.5","1",2015,2010,2012,"0.010658","0.001000","23.220650","0.999885","0.999885","C_Se_Se","0","0","92","22","0","0","0","0","0","0","---"
"188","T1355","K1844","K1013",424139.4,4686444,424104.3888,4686431.009,424142.8919,4686447.925,37.343676927301,5.25347414653294,"FO","-9","-9","3.5","2.5","-9","-9","-9","-9",2015,2010,2010,"0.019622","0.002000","21.710760","0.999482","0.999482","C_Se_Se","0","0","43","5","2","0","1","0","1","1","s50_706008"
"189","T1351","K1013","K1847",424139.6,4686445,424142.8919,4686447.925,424144.293,4686438.662,4.40366104610508,7.88634852171952,"FR","-9","FR","4","0.5","-9","-9","3.5","1",2015,2010,2010,"0.000000","0.000000","23.574035","0.999920","0.999920","C_Se_Se","0","0","8","4","0","1","0","0","0","0","---"
"190","T1345","M1261","J0144",424141.3,4686453,424153.1516,4686440.772,424219.3092,4686438.842,17.0289285206905,79.2835685917299,"FR","FR","FR","4","0.5","3.5","1","3.5","1",2015,2012,2009,"0.032032","0.004000","21.688506","0.999470","0.999470","C_Se_Se","0","0","38","19","1","0","2","0","0","0","---"
"191","T1349","K1895","L0538",424141.8,4686445,424147.9581,4686445.042,424148.8773,4686445.331,6.15824322433253,7.08503608249253,"FR","FR","FR","3.5","1","3.5","1","3","1",2015,2010,2011,"0.000000","0.000000","23.632416","0.999924","0.999924","C_Se_Se","0","0","97","19","0","0","1","0","0","0","---"
"192","T0488","L1889","L0220",424156.2,4686116,424121.2246,4686110.667,424157.4432,4686118.296,35.3796480219321,2.61096959774164,"-9","FR","FR","-9","-9","4","1","4","1",2015,2011,2011,"0.000000","0.000000","22.852828","0.999834","0.999834","C_Se_Se","0","0","20","2","0","0","0","0","0","0","---"
"193","T1814","M0079","K0032",424156.3,4686119,424077.1371,4686134.14,424156.0651,4686119.307,80.5976695469489,0.386557899944503,"FR","FR","FR","3","1","4","1","3.5","1",2015,2012,2010,"0.000000","0.000000","22.982120","0.999855","0.999855","C_Se_Se","0","0","36","29","0","0","0","0","0","0","---"
"194","T0389","L0214","L0220",424158.3,4686118,424155.0556,4686117.72,424157.4432,4686118.296,3.25645994293357,0.906488963014868,"FR","WR","FR","4","1","2.5","1","4","1",2015,2011,2011,"0.000000","0.000000","23.097319","0.999870","0.999870","C_Se_Se","0","0","45","32","0","0","0","0","0","0","---"
"195","T5013","L0220","M1985",424159.8,4686131,424157.4432,4686118.296,424162.3113,4686114.349,12.9207632219528,16.8393120012937,"WR","FR","FR","2","0.5","4","1","3","1",2015,2011,2012,"0.018178","0.002000","20.254983","0.997781","0.997781","C_Se_Se","0","0","29","3","0","0","1","0","1","1","s382_741148"
"196","T1830","P2059","M0295",424180,4686120,424176.0307,4686117.869,424177.9736,4686122.418,4.50516409137321,3.15484087680288,"FR","FR","FR","3.5","0.5","4","1","4","1",2015,2013,2012,"0.000000","0.000000","22.951989","0.999850","0.999850","C_Se_Se","0","0","85","81","1","3","1","0","0","0","---"
"197","T0491","M0283","L1895",424183.6,4686119,424119.914,4686113.133,424121.0609,4686110.562,63.9556743768204,63.1057752730342,"FR","FR","FR","3.5","0.5","4","1","4","1",2015,2012,2011,"0.000000","0.000000","23.512246","0.999914","0.999914","C_Se_Se","0","0","32","8","1","0","0","1","0","1","s992_223854"
"198","T2270","M2029","M2049",424193,4686442,424193.1897,4686440.697,424194.3217,4686441.25,1.31673653051457,1.51966801964251,"WR","FR","FO","1.5","0.5","4","1","3","2.5",2015,2012,2012,"0.000000","0.000000","23.806799","0.999936","0.999936","C_Se_Se","0","0","30","11","1","2","0","0","0","0","---"
"199","T1314","P1688","S4313",424194.8,4686442,424192.1452,4686439.973,424197.6342,4686438.942,3.34016347486953,4.16941886131487,"FR","FR","FO","3","0.5","4","0.5","3","2.5",2015,2013,2014,"0.000000","0.000000","22.224058","0.999690","0.999690","C_Se_Se","0","0","10","2","1","0","0","1","0","1","s91_181717"
"200","T1318","M2035","P1689",424195.8,4686442,424193.7621,4686439.642,424218.4651,4686431.12,3.11660077809425,25.1412242742241,"FR","FR","FR","3.5","1","3.5","1","4","0.5",2015,2012,2013,"0.041732","0.006000","21.230236","0.999162","0.999162","C_Se_Se","0","0","98","22","0","0","1","0","0","0","---"
"201","T1378","M2046","M2036",424203.5,4686438,424213.0657,4686432.068,424218.8517,4686430.559,11.2557203452254,17.059987511269,"FR","FR","FR","3.5","0.5","4","1","4","1",2015,2012,2012,"0.041344","0.006000","21.074308","0.999021","0.999021","C_Se_Se","0","0","8","2","3","0","0","1","0","1","s804_404293"
"202","T0436","P0327","L1872",424208.3,4686115,424102.8913,4686120.439,424198.4646,4686127.102,105.548930627868,15.5946624573461,"FR","FR","-9","4","1","4","1","-9","-9",2015,2013,2011,"0.019753","0.002000","21.740144","0.999497","0.999497","C_Se_Se","0","0","116","19","0","0","1","0","0","0","---"
"203","T2259","K0027","K1356",424213.2,4686110,424198.9673,4686117.393,424210.897,4686113.667,16.0382729211134,4.33020761658653,"FR","FR","-9","3.5","0.5","4","1","-9","-9",2015,2010,2010,"0.010433","0.001000","21.814402","0.999533","0.999533","C_Se_Se","0","0","8","3","0","0","1","0","0","0","---"
"204","T1888","L1863","K1276",424216,4686119,424228.9736,4686128.403,424257.9235,4686130.586,16.0228182901583,43.4950025663968,"WR","-9","-9","2","0.5","-9","-9","-9","-9",2015,2011,2010,"0.042127","0.006000","21.412957","0.999302","0.999302","C_Se_Se","0","0","90","24","1","0","1","0","0","0","---"
"205","T1595","P1689","M2030",424217.3,4686432,424218.4651,4686431.12,424221.4379,4686430.792,1.46008835683514,4.31062413223092,"FR","FR","FR","4","0.5","4","0.5","4.5","1",2015,2013,2012,"0.000000","0.000000","23.826327","0.999937","0.999937","C_Se_Se","0","0","23","9","0","1","0","0","0","0","---"
"206","T6065","M1518","M2030",424217.8,4686429,424217.3639,4686425.63,424221.4379,4686430.792,3.39809994125335,4.05531508165905,"FR","FR","FR","4","1","3.5","1","4.5","1",2015,2012,2012,"0.018290","0.002000","21.848608","0.999548","0.999548","C_Se_Se","0","0","120","74","0","1","0","0","0","0","---"
"207","T4759","M1924","K1254",424222.2,4686126,424118.537,4686106.875,424225.4022,4686127.605,105.412443259798,3.58191427053094,"-9","FO","-9","-9","-9","3","1.5","-9","-9",2015,2012,2010,"0.000000","0.000000","23.749431","0.999932","0.999932","C_Se_Se","0","0","34","6","1","0","0","0","0","0","---"
"208","T1768","M1524","L0401",424225.4,4686425,424223.9123,4686423.4,424299.0144,4686413.36,2.18477717142997,74.5289842098135,"FR","FR","FR","4","0.5","3.5","1","4","1",2015,2012,2011,"0.020434","0.002000","21.285260","0.999207","0.999207","C_Se_Se","0","0","4","2","1","1","0","0","1","1","s1099_632387"
"209","T1352","S5237","S1803",424227.9,4686425,424229.1,4686426,424261.6424,4686417.179,1.56204993514556,34.6369398008316,"FR","FR","FR","3.5","0.5","3.5","1","3.5","1",2015,2014,2014,"0.000000","0.000000","25.283732","0.999985","0.999985","C_Se_Se","0","0","15","4","0","1","2","0","0","0","---"
"210","T1732","P1566","M2062",424228.3,4686432,424194.21,4686438.61,424220.8352,4686429.956,34.7249218861931,7.73958493972809,"FR","FO","FR","4","0.5","3","1.5","4","1",2015,2013,2012,"0.000000","0.000000","22.215781","0.999687","0.999687","C_Se_Se","0","0","68","11","0","0","0","0","0","0","---"
"211","T6132","M2062","L0691",424229.2,4686426,424220.8352,4686429.956,424232.8996,4686418.263,9.25309759175518,8.57602525391543,"FR","FR","FR","4","0.5","4","1","3.5","1",2015,2012,2011,"0.000000","0.000000","23.233269","0.999887","0.999887","C_Se_Se","0","0","39","31","0","0","1","0","0","0","---"
"212","T1881","L0173","L1632",424230.4,4686126,424216.2286,4686115.443,424235.2423,4686130.398,17.6714127041969,6.54142746577596,"FR","-9","-9","4","0.5","-9","-9","-9","-9",2015,2011,2011,"0.000000","0.000000","24.262178","0.999960","0.999960","C_Se_Se","0","0","136","24","0","0","0","0","0","0","---"
"213","T5459","P1697","P1698",424234.1,4686426,424232.5772,4686427.506,424236.3437,4686426.9,2.14171796464591,2.41747589251578,"FR","FR","FO","3.5","1","4","0.5","4","2",2015,2013,2013,"0.000000","0.000000","24.295843","0.999961","0.999961","C_Se_Se","0","0","5","2","0","0","0","0","0","0","---"
"214","T6133","S5237","S1774",424239.6,4686423,424229.1,4686426,424237.1885,4686423.033,10.9201648339208,2.41172578249012,"FO","FR","FR","3","2","3.5","1","3.5","1",2015,2014,2014,"0.000000","0.000000","22.794876","0.999825","0.999825","C_Se_Se","0","0","568","1364","4","1","1","0","0","0","---"
"215","T6125","K1841","L0545",424271.4,4686414,424192.2807,4686440.243,424273.0137,4686416.626,83.3580151004201,3.08219137803275,"FR","-9","WR","4","0.5","-9","-9","2.5","1",2015,2010,2011,"0.000000","0.000000","24.001735","0.999948","0.999948","C_Se_Se","0","0","18","3","0","0","1","0","0","0","---"
